Establishment.ID,Name,Address.1,Address.2,City,Zip,Inspection.Date,Inspection.Results,Food.from.Approved.Source..C.,Food.Protected.from.Contamination..C.,Ill.Workers.Restricted..C.,Proper.Hand.Washing..C.,Cooling.Time.and.Temperature..C.,Cold.Holding.Temperature..C.,Hot.Holding.Temperature..C.,Cooking.Time.and.Temperature..C.,Reheating.Time.and.Temperature..C.,Hot.and.Cold.Running.Water.Provided..C.,Proper.Sewage.Disposal..C.,Toxic.Substances...Pesticides,Rodent.and.Insects,Nutritional.Labeling,Trans.Fat.Ban,No.Smoking.Sign.Posted,Inspection.Type,Owner,Category,Type,Latitude,Longitude,Location
18162,AY JALISCO RESTAURANT #2,425 S. FREDERICK AVE.,,Gaithersburg,20877,2023-09-22,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,ABI III CORP,Restaurant,Food,39.1361,-77.1915,POINT (-77.1915 39.1361)
33177,BASSETT'S RESTAURANT,19950 FISHER AVE,,Poolesville,20837,2023-09-18,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Pre-Opening - Environmental,ALL FLAVORS INC,Restaurant,Food,39.1459,-77.4169,POINT (-77.4169 39.1459)
41185,MAIN STREET PEARL,7050 CARROLL AVE,SUITE 101,Takoma Park,20912,2023-09-14,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,MAIN STREET PEARL LLC,Restaurant,Food,38.9752,-77.0108,POINT (-77.0108 38.9752)
45647,CHINESE EXPRESS,849 RUSSELL AVE,,Gaithersburg,20879,2023-09-11,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,WEI WANG/ W&Y FOOD LLC,Restaurant,Food,39.157,-77.2118,POINT (-77.2118 39.157)
36841,SPRINKLES,10148 RIVER RD.,,Potomac,20854,2023-09-11,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,MOOSETRAX INC,Market,Food,39.0168,-77.2098,POINT (-77.2098 39.0168)
35610,BANANA LEAVES ASIAN CAFE,160 CONGRESSIONAL LANE,,Rockville,20852,2023-09-05,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,BANANA LEAVES ASIAN CAFE LLC,Restaurant,Food,39.0625,-77.1279,POINT (-77.1279 39.0625)
36996,BARRA BRAVA PERUVIAN SEAFOOD,15921 FREDERICK RD,,Rockville,20855,2023-08-23,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Out of Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,JOHAN REYES AND RUTH QUISPE,Restaurant,Food,39.1168,-77.1673,POINT (-77.1673 39.1168)
26878,KALDI'S SOCIAL,918 SILVER SPRING AVE,,Silver Spring,20910,2023-08-08,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,TSEGAW HAILEMARIAM,Market,Food,38.9915,-77.0255,POINT (-77.0255 38.9915)
28906,MEZEH MEDITERRANEAN GRILL,262 CROWN PARK AVE,STE B1180,Gaithersburg,20878,2023-07-18,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MEZEH - DOWNTOWN CROWN LLC,Restaurant,Food,39.114,-77.2043,POINT (-77.2043 39.114)
26874,GW SUPERMARKET OF GERMANTOWN INC,19721 FREDERICK RD,,Germantown,20876,2023-07-10,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,GW SUPERMARKET OF GERMANTOWN INC,Restaurant,Food,39.1789,-77.2371,POINT (-77.2371 39.1789)
